Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Midtrans010-Negative,Chrome 91.0.4472.164,,,2021-07-23 21:24:37,2021-07-23 21:24:44,7.790s,PASSED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-23 21:24:37,2021-07-23 21:24:38,0.790s,PASSED
"click(findTestObject(""btn-buy-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:38,2021-07-23 21:24:38,0.605s,PASSED
"setText(findTestObject(""txt-amount""), amount)",Chrome 91.0.4472.164,,,2021-07-23 21:24:38,2021-07-23 21:24:39,0.884s,PASSED
"setText(findTestObject(""txt-name""), name)",Chrome 91.0.4472.164,,,2021-07-23 21:24:39,2021-07-23 21:24:40,0.902s,PASSED
"setText(findTestObject(""txt-email""), email)",Chrome 91.0.4472.164,,,2021-07-23 21:24:40,2021-07-23 21:24:41,0.711s,PASSED
"setText(findTestObject(""txt-phone""), phone)",Chrome 91.0.4472.164,,,2021-07-23 21:24:41,2021-07-23 21:24:42,0.901s,PASSED
"setText(findTestObject(""txt-city""), city)",Chrome 91.0.4472.164,,,2021-07-23 21:24:42,2021-07-23 21:24:43,0.770s,PASSED
"setText(findTestObject(""txt-Address""), address)",Chrome 91.0.4472.164,,,2021-07-23 21:24:43,2021-07-23 21:24:43,0.819s,PASSED
"setText(findTestObject(""txt-postal-code""), postal)",Chrome 91.0.4472.164,,,2021-07-23 21:24:43,2021-07-23 21:24:44,0.635s,PASSED
"click(findTestObject(""btn-checkout""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:44,2021-07-23 21:24:44,0.330s,PASSED
"verifyMatch(actual, expected, false)",Chrome 91.0.4472.164,,,2021-07-23 21:24:44,2021-07-23 21:24:44,0.006s,PASSED
,,,,,,,
Test Cases/Midtrans011-Negative,Chrome 91.0.4472.164,,,2021-07-23 21:24:44,2021-07-23 21:24:57,12.721s,FAILED
navigateToUrl(baseURL),Chrome 91.0.4472.164,,,2021-07-23 21:24:45,2021-07-23 21:24:46,0.683s,PASSED
"click(findTestObject(""btn-buy-now""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:46,2021-07-23 21:24:46,0.599s,PASSED
"click(findTestObject(""btn-checkout""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:46,2021-07-23 21:24:47,0.550s,PASSED
"switchToFrame(findTestObject(""iframe""), 5)",Chrome 91.0.4472.164,,,2021-07-23 21:24:47,2021-07-23 21:24:53,6.447s,PASSED
"click(findTestObject(""btn-continue""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:53,2021-07-23 21:24:53,0.196s,PASSED
"click(findTestObject(""btn-creditcard""))",Chrome 91.0.4472.164,,,2021-07-23 21:24:53,2021-07-23 21:24:54,0.280s,PASSED
"setText(findTestObject(""txt-cardnumber""), ccinvalid)",Chrome 91.0.4472.164,,,2021-07-23 21:24:54,2021-07-23 21:24:54,0.459s,PASSED
